num_arms,min_gap,num_threads,epsilon,delta,elapsed,pulls,solved
100,0.2,1,0.01,0.01,3,145075,1
100,0.2,8,0.01,0.01,48,173960,1
100,0.2,16,0.01,0.01,52,192480,1
100,0.2,32,0.01,0.01,50,180032,1
100,0.2,64,0.01,0.01,144,172800,1
100,0.2,128,0.01,0.01,81,168960,1
100,0.2,1,0.001,0.1,3,130364,1
100,0.2,8,0.001,0.1,33,128720,1
100,0.2,16,0.001,0.1,44,136560,1
100,0.2,32,0.001,0.1,30,85888,1
100,0.2,64,0.001,0.1,130,147200,1
100,0.2,128,0.001,0.1,76,146688,1
100,0.2,1,0.001,0.05,3,120200,1
100,0.2,8,0.001,0.05,39,129648,1
100,0.2,16,0.001,0.05,44,135664,1
100,0.2,32,0.001,0.05,48,159616,1
100,0.2,64,0.001,0.05,143,156544,1
100,0.2,128,0.001,0.05,61,123776,1
100,0.2,1,0.001,0.01,4,162645,1
100,0.2,8,0.001,0.01,55,164800,1
100,0.2,16,0.001,0.01,55,186000,1
100,0.2,32,0.001,0.01,69,237408,1
100,0.2,64,0.001,0.01,140,166400,1
100,0.2,128,0.001,0.01,50,76800,1
100,0.1,1,0.2,0.1,13,558252,0
100,0.1,8,0.2,0.1,121,408664,1
100,0.1,16,0.2,0.1,134,462800,1
100,0.1,32,0.2,0.1,165,576000,0
100,0.1,64,0.2,0.1,268,578048,0
100,0.1,128,0.2,0.1,187,471296,1
100,0.1,1,0.2,0.05,13,588530,0
100,0.1,8,0.2,0.05,153,511360,0
100,0.1,16,0.2,0.05,95,338464,1
100,0.1,32,0.2,0.05,170,592768,0
100,0.1,64,0.2,0.05,166,256768,1
100,0.1,128,0.2,0.05,234,608768,0
100,0.1,1,0.2,0.01,14,622204,0
100,0.1,8,0.2,0.01,173,544984,1
100,0.1,16,0.2,0.01,114,432416,1
100,0.1,32,0.2,0.01,181,680768,0
100,0.1,64,0.2,0.01,327,681856,0
100,0.1,128,0.2,0.01,251,667264,1
100,0.1,1,0.1,0.1,8,376644,1
100,0.1,8,0.1,0.1,178,601528,1
100,0.1,16,0.1,0.1,215,781904,1
100,0.1,32,0.1,0.1,149,519424,1
100,0.1,64,0.1,0.1,291,649728,1
100,0.1,128,0.1,0.1,223,599040,1
100,0.1,1,0.1,0.05,10,455420,1
100,0.1,8,0.1,0.05,144,609640,1
100,0.1,16,0.1,0.05,576,2257104,0
100,0.1,32,0.1,0.05,219,801280,1
100,0.1,64,0.1,0.05,229,491776,1
100,0.1,128,0.1,0.05,201,548864,1
100,0.1,1,0.1,0.01,16,701560,1
100,0.1,8,0.1,0.01,114,393952,1
100,0.1,16,0.1,0.01,181,731504,1
100,0.1,32,0.1,0.01,101,373024,1
100,0.1,64,0.1,0.01,201,387968,1
100,0.1,128,0.1,0.01,252,720768,1
100,0.1,1,0.01,0.1,11,477947,1
100,0.1,8,0.01,0.1,139,512536,1
100,0.1,16,0.01,0.1,172,656464,1
100,0.1,32,0.01,0.1,140,519424,1
100,0.1,64,0.01,0.1,403,958720,1
100,0.1,128,0.01,0.1,229,620800,1
100,0.1,1,0.01,0.05,12,524270,1
100,0.1,8,0.01,0.05,149,525136,1
100,0.1,16,0.01,0.05,111,407344,1
100,0.1,32,0.01,0.05,226,853696,1
100,0.1,64,0.01,0.05,267,519424,1
100,0.1,128,0.01,0.05,206,553472,1
100,0.1,1,0.01,0.01,19,867334,1
100,0.1,8,0.01,0.01,229,873496,1
100,0.1,16,0.01,0.01,137,505440,1
100,0.1,32,0.01,0.01,175,618176,1
100,0.1,64,0.01,0.01,540,1493248,1
100,0.1,128,0.01,0.01,258,731264,1
100,0.1,1,0.001,0.1,12,525511,1
100,0.1,8,0.001,0.1,177,641696,1
100,0.1,16,0.001,0.1,324,1252160,1
100,0.1,32,0.001,0.1,134,488960,1
100,0.1,64,0.001,0.1,261,521472,1
100,0.1,128,0.001,0.1,243,691968,1
100,0.1,1,0.001,0.05,12,516326,1
100,0.1,8,0.001,0.05,59,194512,1
100,0.1,16,0.001,0.05,168,666992,1
100,0.1,32,0.001,0.05,192,739648,1
100,0.1,64,0.001,0.05,370,848896,1
100,0.1,128,0.001,0.05,239,656128,1
100,0.1,1,0.001,0.01,13,544084,1
100,0.1,8,0.001,0.01,173,664768,1
100,0.1,16,0.001,0.01,176,694400,1
100,0.1,32,0.001,0.01,108,404320,1
100,0.1,64,0.001,0.01,289,671360,1
100,0.1,128,0.001,0.01,238,656768,1
100,0.01,1,0.2,0.1,13,566900,0
100,0.01,8,0.2,0.1,170,568800,0
100,0.01,16,0.2,0.1,152,571200,0
100,0.01,32,0.2,0.1,156,576000,0
100,0.01,64,0.2,0.1,277,582400,0
100,0.01,128,0.2,0.1,211,588800,0
100,0.01,1,0.2,0.05,14,602300,0
100,0.01,8,0.2,0.05,177,603200,0
100,0.01,16,0.2,0.05,159,604800,0
100,0.01,32,0.2,0.05,174,611200,0
100,0.01,64,0.2,0.05,280,620800,0
100,0.01,128,0.2,0.05,219,627200,0
100,0.01,1,0.2,0.01,15,684700,0
100,0.01,8,0.2,0.01,163,685600,0
100,0.01,16,0.2,0.01,152,688000,0
100,0.01,32,0.2,0.01,167,691200,0
100,0.01,64,0.2,0.01,259,697600,0
100,0.01,128,0.2,0.01,243,704000,0
100,0.01,1,0.1,0.1,52,2286548,0
100,0.01,8,0.1,0.1,560,2324960,0
100,0.01,16,0.1,0.1,433,1767504,0
100,0.01,32,0.1,0.1,590,2188800,0
100,0.01,64,0.1,0.1,737,2284800,0
100,0.01,128,0.1,0.1,739,2380800,0
100,0.01,1,0.1,0.05,48,2134928,0
100,0.01,8,0.1,0.05,487,1970048,0
100,0.01,16,0.1,0.05,564,2371056,0
100,0.01,32,0.1,0.05,594,2416960,0
100,0.01,64,0.1,0.05,827,2521600,0
100,0.01,128,0.1,0.05,774,2515328,0
100,0.01,1,0.1,0.01,58,2572300,0
100,0.01,8,0.1,0.01,642,2595184,0
100,0.01,16,0.1,0.01,662,2812144,0
100,0.01,32,0.1,0.01,676,2731040,0
100,0.01,64,0.1,0.01,891,2826496,0
100,0.01,128,0.1,0.01,871,2854400,0
100,0.01,1,0.01,0.1,323,14284471,0
100,0.01,8,0.01,0.1,5381,22579944,0
100,0.01,16,0.01,0.1,4209,17308800,0
100,0.01,32,0.01,0.1,2060,7787840,0
100,0.01,64,0.01,0.1,9836,35107072,0
100,0.01,128,0.01,0.1,3859,13215104,0
100,0.01,1,0.01,0.05,163,7155794,1
100,0.01,8,0.01,0.05,2857,12323744,0
100,0.01,16,0.01,0.05,2852,12028608,0
100,0.01,32,0.01,0.05,4762,18605920,0
100,0.01,64,0.01,0.05,8720,31151936,0
100,0.01,128,0.01,0.05,7537,26240000,0
100,0.01,1,0.01,0.01,358,15761332,0
100,0.01,8,0.01,0.01,10529,44399568,0
